State/Union Territory,01-04-2023,01-05-2023,01-06-2023,01-07-2023,01-08-2023,01-09-2023,01-10-2023,01-11-2023,01-12-2023,01-01-2024,01-02-2024,01-03-2024,01-04-2024,01-05-2024,01-06-2024,01-07-2024,01-08-2024,01-09-2024,01-10-2024,01-11-2024,01-12-2024,01-01-2025,01-02-2025,01-03-2025,01-04-2025,01-05-2025,01-06-2025,01-07-2025,01-08-2025
Jammu and Kashmir,-,-,-,-,-,-,-,-,-,-,-,-,-1.70%,24.60%,-6.40%,13.90%,8.10%,6.10%,2.50%,24.60%,10.70%,14.10%,-2.40%,-1.50%,11.00%,10.00%,2.30%,-5.20%,2.50%
Himachal Pradesh,-,-,-,-,-,-,-,-,-,-,-,-,6.20%,1.20%,5.40%,-6.90%,14.00%,9.30%,-2.10%,9.20%,9.50%,-6.70%,16.00%,-2.70%,7.40%,0.50%,1.40%,10.50%,4.80%
Punjab,-,-,-,-,-,-,-,-,-,-,-,-,21.50%,25.60%,17.00%,3.30%,6.60%,3.60%,11.60%,2.20%,22.10%,7.60%,8.30%,3.50%,11.00%,10.40%,-3.00%,12.90%,14.20%
Chandigarh,-,-,-,-,-,-,-,-,-,-,-,-,22.20%,-9.00%,-2.70%,7.50%,26.90%,-10.80%,16.30%,17.50%,-22.20%,6.50%,10.30%,0.70%,7.50%,54.70%,-2.50%,-5.50%,-12.50%
Uttarakhand,-,-,-,-,-,-,-,-,-,-,-,-,4.50%,28.30%,12.10%,5.70%,-0.20%,13.90%,0.00%,13.80%,5.40%,2.60%,8.50%,0.70%,15.50%,-12.60%,-0.30%,4.40%,7.00%
Haryana,-,-,-,-,-,-,-,-,-,-,-,-,21.30%,27.20%,13.30%,14.40%,13.80%,25.30%,16.70%,0.40%,29.40%,5.90%,20.60%,12.60%,15.30%,9.20%,9.40%,12.20%,14.10%
Delhi,-,-,-,-,-,-,-,-,-,-,-,-,22.80%,46.80%,11.50%,10.30%,22.00%,20.60%,11.70%,18.10%,9.80%,8.00%,10.20%,6.10%,7.00%,39.20%,6.80%,2.10%,2.10%
Rajasthan,-,-,-,-,-,-,-,-,-,-,-,-,16.00%,12.50%,9.50%,8.90%,4.90%,2.50%,10.70%,-1.80%,8.70%,8.60%,13.70%,14.50%,12.40%,9.90%,6.20%,4.30%,14.10%
Uttar Pradesh,-,-,-,-,-,-,-,-,-,-,-,-,20.80%,22.10%,20.40%,5.10%,12.30%,5.30%,9.10%,4.70%,1.00%,8.10%,10.40%,11.80%,11.60%,-1.00%,-5.50%,8.10%,9.80%
Bihar,-,-,-,-,-,-,-,-,-,-,-,-,21.20%,14.40%,6.90%,5.60%,9.50%,9.50%,17.90%,11.10%,5.50%,8.20%,11.90%,31.20%,17.80%,27.60%,14.10%,17.40%,15.60%
Sikkim,-,-,-,-,-,-,-,-,-,-,-,-,-5.30%,-6.80%,10.50%,3.50%,1.90%,2.90%,2.10%,52.20%,29.80%,20.90%,10.90%,15.10%,16.50%,36.20%,14.50%,23.40%,39.50%
Arunachal Pradesh,-,-,-,-,-,-,-,-,-,-,-,-,-16.00%,-18.30%,0.50%,9.60%,-10.90%,13.30%,-32.60%,-22.90%,-27.20%,15.30%,0.50%,3.90%,65.90%,53.30%,-3.30%,9.20%,20.20%
Nagaland,-,-,-,-,-,-,-,-,-,-,-,-,3.50%,-12.70%,-36.80%,39.70%,-16.10%,-0.50%,-6.70%,-21.10%,13.50%,31.30%,15.60%,5.90%,47.80%,53.50%,75.10%,20.80%,31.70%
Manipur,-,-,-,-,-,-,-,-,-,-,-,-,14.90%,49.10%,2.80%,61.00%,39.50%,-32.80%,-3.80%,-3.60%,-8.30%,-0.80%,-9.20%,-17.70%,15.90%,101.70%,-35.80%,-36.20%,-24.30%
Mizoram,-,-,-,-,-,-,-,-,-,-,-,-,52.40%,2.40%,-24.10%,-0.80%,-13.90%,-4.50%,5.10%,16.50%,5.60%,-10.40%,-15.60%,-7.80%,-28.00%,-26.30%,-28.50%,-21.20%,8.70%
Tripura,-,-,-,-,-,-,-,-,-,-,-,-,20.80%,-2.60%,-1.30%,-7.30%,8.90%,7.40%,13.60%,18.40%,4.80%,24.80%,21.20%,32.10%,-7.10%,27.10%,17.70%,40.70%,1.50%
Meghalaya,-,-,-,-,-,-,-,-,-,-,-,-,-1.60%,-20.10%,-6.70%,-20.10%,-14.50%,-5.80%,15.20%,-10.90%,-13.20%,7.40%,10.90%,26.00%,49.70%,24.00%,-5.30%,23.50%,33.40%
Assam,-,-,-,-,-,-,-,-,-,-,-,-,17.90%,0.30%,11.50%,9.30%,13.60%,8.60%,7.60%,8.60%,10.00%,6.60%,10.70%,11.30%,15.90%,28.50%,-1.30%,11.60%,12.70%
West Bengal,-,-,-,-,-,-,-,-,-,-,-,-,11.40%,3.90%,2.10%,0.70%,5.40%,2.50%,15.00%,5.60%,2.10%,6.20%,7.30%,7.00%,13.50%,18.30%,5.10%,14.10%,7.80%
Jharkhand,-,-,-,-,-,-,-,-,-,-,-,-,1.00%,4.20%,-6.60%,8.30%,1.20%,-0.20%,0.80%,7.90%,14.60%,7.10%,13.70%,2.70%,10.10%,7.90%,15.20%,1.70%,7.50%
Odisha,-,-,-,-,-,-,-,-,-,-,-,-,20.00%,16.40%,15.40%,17.60%,10.40%,7.60%,8.10%,8.60%,11.90%,6.60%,2.90%,16.30%,3.30%,1.10%,1.90%,1.10%,3.20%
Chhattisgarh,-,-,-,-,-,-,-,-,-,-,-,-,16.80%,15.80%,4.30%,21.90%,-9.70%,2.30%,0.70%,0.10%,15.50%,5.40%,8.80%,24.90%,4.30%,2.40%,6.00%,-6.00%,9.90%
Madhya Pradesh,-,-,-,-,-,-,-,-,-,-,-,-,13.60%,1.30%,5.60%,10.40%,13.30%,2.30%,11.70%,3.80%,-0.10%,5.30%,14.40%,4.40%,11.30%,10.40%,9.40%,20.30%,10.00%
Gujarat,-,-,-,-,-,-,-,-,-,-,-,-,14.10%,16.60%,9.30%,12.60%,5.80%,1.50%,17.90%,12.20%,4.50%,10.10%,3.20%,7.10%,14.00%,4.50%,1.60%,5.20%,8.70%
Daman and Diu,-,-,-,-,-,-,-,-,-,-,-,-,666.70%,810.00%,-91.40%,-47.60%,-28.60%,-83.30%,-83.30%,0.00%,-100.00%,-63.60%,-68.40%,-79.30%,-65.20%,-100.00%,-100.00%,-81.80%,-60.00%
Dadra and Nagar Haveli,-,-,-,-,-,-,-,-,-,-,-,-,12.30%,15.90%,16.40%,-4.20%,-0.90%,-12.70%,-1.20%,4.60%,-0.60%,3.00%,8.70%,-14.70%,10.80%,-6.20%,4.20%,16.40%,13.20%
Maharashtra,-,-,-,-,-,-,-,-,-,-,-,-,13.10%,14.10%,10.50%,11.30%,13.60%,4.50%,13.40%,17.50%,9.70%,14.10%,13.10%,14.40%,10.90%,18.00%,5.30%,5.70%,9.80%
Karnataka,-,-,-,-,-,-,-,-,-,-,-,-,9.50%,17.60%,10.60%,13.10%,12.30%,6.50%,11.00%,15.10%,7.00%,7.60%,11.40%,5.30%,14.90%,21.50%,8.60%,9.10%,14.90%
Goa,-,-,-,-,-,-,-,-,-,-,-,-,23.60%,-0.80%,13.70%,12.60%,4.10%,4.40%,5.40%,11.20%,4.60%,18.60%,3.30%,20.50%,5.20%,13.00%,1.00%,-1.10%,2.80%
Lakshadweep,-,-,-,-,-,-,-,-,-,-,-,-,-57.10%,-38.90%,-96.40%,-50.20%,-44.50%,-13.80%,-13.40%,1119.50%,-53.80%,-4.30%,-55.00%,27.50%,286.80%,444.90%,36.70%,-52.10%,-66.00%
Kerala,-,-,-,-,-,-,-,-,-,-,-,-,9.00%,12.80%,-4.00%,4.60%,8.70%,6.70%,19.80%,9.80%,4.70%,7.30%,7.40%,8.80%,4.80%,23.90%,9.10%,8.90%,8.40%
Tamil Nadu,-,-,-,-,-,-,-,-,-,-,-,-,7.10%,9.00%,6.90%,4.40%,8.30%,4.70%,3.40%,7.50%,10.00%,19.70%,10.90%,8.10%,13.80%,28.30%,4.90%,9.10%,9.00%
Puducherry,-,-,-,-,-,-,-,-,-,-,-,-,12.20%,17.80%,15.40%,4.10%,1.00%,14.70%,19.30%,0.60%,-2.50%,1.70%,8.50%,13.40%,8.80%,15.00%,-1.00%,9.00%,-3.50%
Andaman and Nicobar Islands,-,-,-,-,-,-,-,-,-,-,-,-,-29.80%,20.60%,-13.90%,27.40%,28.60%,23.60%,-2.90%,3.50%,70.30%,26.00%,32.20%,59.40%,20.90%,44.70%,3.70%,31.40%,34.90%
Telangana,-,-,-,-,-,-,-,-,-,-,-,-,11.70%,12.90%,0.50%,2.60%,5.90%,0.20%,9.60%,4.40%,11.60%,11.50%,1.70%,0.60%,12.40%,6.70%,9.20%,10.70%,11.20%
Andhra Pradesh,-,-,-,-,-,-,-,-,-,-,-,-,11.70%,18.60%,4.50%,-7.20%,-3.00%,-2.70%,15.60%,-8.10%,-3.70%,4.60%,4.10%,-1.00%,-2.40%,-1.00%,-0.60%,13.60%,20.30%
Ladakh,-,-,-,-,-,-,-,-,-,-,-,-,2.80%,-41.30%,52.90%,66.50%,22.70%,24.80%,30.90%,6.60%,12.20%,38.60%,-45.90%,16.90%,3.00%,89.00%,25.70%,11.50%,6.90%
Other Territory,-,-,-,-,-,-,-,-,-,-,-,-,2.20%,3.30%,-9.10%,-2.30%,7.90%,8.10%,-37.30%,-22.20%,-13.60%,-0.50%,5.20%,12.60%,16.30%,2.20%,10.20%,-3.70%,0.30%
OIDAR,-,-,-,-,-,-,-,-,-,-,-,-,18.30%,30.50%,38.70%,13.70%,49.00%,33.40%,33.10%,28.60%,26.80%,20.10%,45.00%,32.40%,35.50%,32.40%,27.20%,30.80%,37.80%
